Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
1635751800000,62069.82000000,62175.56000000,61955.91000000,61984.32000000,6.05155100,1635752699999,375654.50435505,314,3.49961200,217226.11639341,0
1635752700000,61942.35000000,62192.28000000,61942.35000000,62183.44000000,3.97631500,1635753599999,246939.39874808,170,2.65936600,165149.36868083,0
1635753600000,62178.16000000,62411.70000000,62085.99000000,62088.65000000,4.10679700,1635754499999,255808.64689977,345,1.37253800,85499.78011816,0
1635754500000,62151.24000000,62201.12000000,62044.26000000,62044.26000000,1.46009000,1635755399999,90721.10370894,82,1.02088300,63429.30854075,0
1635755400000,62051.32000000,62167.46000000,61735.95000000,61788.69000000,3.04274100,1635756299999,188441.13058055,211,2.30893000,143004.40654303,0
1635756300000,61795.75000000,61908.93000000,61664.34000000,61908.93000000,3.18816800,1635757199999,197064.86295609,173,1.80582400,111594.42091342,0
1635757200000,61908.93000000,62110.93000000,61821.76000000,62110.93000000,3.22620100,1635758099999,200006.94092731,140,2.10023700,130181.62065915,0
1635758100000,62111.58000000,62135.65000000,61903.59000000,62011.57000000,3.88954000,1635758999999,241217.17797694,121,3.10074100,192275.72268079,0
1635759000000,62087.10000000,62196.12000000,61959.83000000,62181.77000000,1.95789700,1635759899999,121525.76933670,109,0.51725800,32113.54028558,0
1635759900000,62147.93000000,62155.90000000,61930.10000000,61933.60000000,1.49222400,1635760799999,92545.89325438,80,1.16648400,72347.10297374,0
1635760800000,62015.47000000,62075.79000000,61877.80000000,62037.33000000,3.85222000,1635761699999,238751.84089661,88,1.82409200,113105.21035027,0
1635761700000,61955.00000000,62069.76000000,61905.37000000,62054.02000000,3.92770400,1635762599999,243490.56149766,128,3.17963200,197122.16218767,0
1635762600000,62037.34000000,62103.45000000,62002.00000000,62002.00000000,0.65788800,1635763499999,40828.70432170,43,0.42204400,26196.40983780,0
1635763500000,61989.00000000,62265.30000000,61989.00000000,62265.30000000,1.65160500,1635764399999,102644.90226849,97,0.86368700,53701.78086720,0
1635764400000,62269.92000000,62428.57000000,62143.39000000,62206.62000000,5.49180800,1635765299999,342264.21292245,277,4.78754800,298405.47904242,0
1635765300000,62167.51000000,62209.80000000,62032.03000000,62123.29000000,3.50986700,1635766199999,218039.61024032,143,1.40023900,86979.17361145,0
