1634164200000,57485.26000000,57614.38000000,57470.17000000,57490.11000000,0.55599800,1634165099999,31988.25342822,100,0.15945200,9174.40915132,0
1634165100000,57561.21000000,57579.84000000,57334.44000000,57364.64000000,0.73362200,1634165999999,42136.59610598,86,0.46771700,26872.42375000,0
1634166000000,57419.23000000,57419.28000000,57265.04000000,57372.57000000,1.54567200,1634166899999,88616.86253320,105,0.83569000,47926.61410751,0
1634166900000,57376.88000000,57392.53000000,57222.22000000,57274.68000000,0.70741600,1634167799999,40543.31335593,77,0.32728500,18761.30164913,0
1634167800000,57274.68000000,57451.75000000,57195.02000000,57335.03000000,6.72201600,1634168699999,385438.90537762,201,3.83966400,220177.20861129,0
1634168700000,57346.64000000,57434.10000000,57346.64000000,57381.02000000,1.71974200,1634169599999,98668.50849883,74,1.15764900,66418.45132610,0
1634169600000,57374.38000000,57528.25000000,57353.22000000,57502.47000000,1.77770600,1634170499999,102118.15607398,164,0.73201200,42053.62134294,0
1634170500000,57526.72000000,57595.35000000,57305.70000000,57309.72000000,3.32069700,1634171399999,190647.98212064,167,2.11935700,121700.32900811,0
1634171400000,57325.64000000,57376.98000000,57150.00000000,57315.22000000,3.03064000,1634172299999,173441.06432529,193,1.51544200,86767.00933720,0
1634172300000,57314.08000000,57732.79000000,57314.08000000,57732.79000000,3.63688000,1634173199999,209373.46718489,256,2.70262700,155554.48929713,0
1634173200000,57712.93000000,58250.00000000,57637.11000000,58203.06000000,18.32298300,1634174099999,1062665.58292445,1609,10.27776900,596319.07097913,0
1634174100000,58166.09000000,58310.91000000,57937.50000000,57965.69000000,7.13262700,1634174999999,414725.42263041,429,4.54369400,264269.18410715,0
1634175000000,57968.80000000,58385.16000000,57883.21000000,58361.38000000,7.77504400,1634175899999,452388.93377190,558,4.51163200,262585.47413767,0
1634175900000,58376.87000000,58458.53000000,58207.28000000,58287.09000000,7.86206600,1634176799999,458872.25003198,450,4.61453800,269398.28973279,0
1634176800000,58317.20000000,58362.79000000,58209.57000000,58318.90000000,2.25945300,1634177699999,131716.02851885,206,1.57196500,91639.81714937,0
1634177700000,58324.65000000,58522.72000000,58307.69000000,58325.80000000,8.34358300,1634178599999,487252.99368033,410,4.48643200,262056.60508427,0
1634178600000,58326.93000000,58326.93000000,58127.42000000,58246.70000000,6.25079700,1634179499999,363989.43063355,356,2.95932900,172321.38608230,0
1634179500000,58227.77000000,58227.77000000,58081.45000000,58215.03000000,3.26416800,1634180399999,189801.85149151,161,2.31020500,134345.19081511,0
1634180400000,58245.47000000,58250.13000000,58083.13000000,58098.82000000,2.28367800,1634181299999,132805.58626823,92,0.85908400,49958.61207775,0
1634181300000,58129.21000000,58227.26000000,58083.13000000,58086.03000000,1.13453100,1634182199999,66005.03300764,89,0.57016500,33156.97250431,0
1634182200000,58083.13000000,58192.27000000,58038.88000000,58159.83000000,0.46087600,1634183099999,26769.39818012,67,0.18043700,10480.50712470,0
1634183100000,58131.35000000,58191.20000000,58030.13000000,58076.67000000,1.94090800,1634183999999,112834.64956854,114,1.13169800,65819.13700487,0
1634184000000,58078.06000000,58097.24000000,57948.01000000,57994.32000000,0.78986100,1634184899999,45834.08888289,90,0.27565000,15998.74448636,0
1634184900000,57982.60000000,58169.95000000,57963.61000000,58083.58000000,0.43030100,1634185799999,24985.52009899,50,0.22337500,12970.50880951,0
1634185800000,58082.82000000,58082.82000000,57815.79000000,57872.79000000,1.71234000,1634186699999,99226.63930194,259,0.77503900,44869.60139345,0
1634186700000,57898.54000000,57997.11000000,57697.41000000,57997.09000000,2.71947900,1634187599999,157181.14999544,199,1.36476100,78882.66230553,0
1634187600000,58000.00000000,58109.36000000,57798.59000000,57819.73000000,0.45200900,1634188499999,26188.57078550,69,0.20092400,11634.65428233,0
1634188500000,57819.73000000,57975.95000000,57819.73000000,57864.05000000,1.21072000,1634189399999,70088.74970885,83,0.76903000,44522.00258612,0
1634189400000,57844.40000000,58116.04000000,57844.40000000,58093.78000000,0.83371100,1634190299999,48338.82936269,96,0.39678500,23020.20021901,0
1634190300000,58091.42000000,58093.78000000,57964.68000000,57986.74000000,0.73487500,1634191199999,42622.84945419,151,0.23120500,13413.37907766,0
1634191200000,57970.12000000,58026.97000000,57934.79000000,58016.70000000,0.21859300,1634192099999,12674.65028345,48,0.07847200,4551.81033246,0
1634192100000,58023.29000000,58074.87000000,57916.50000000,57923.67000000,3.25317500,1634192999999,188608.78825725,106,0.40037700,23233.30940863,0
1634193000000,57902.89000000,57953.21000000,57617.26000000,57803.00000000,8.34060100,1634193899999,481919.29502057,210,0.80829900,46748.34534609,0
1634193900000,57811.93000000,57812.39000000,57495.41000000,57639.65000000,2.96353700,1634194799999,170792.48121426,322,1.45545600,83867.78458837,0
1634194800000,57671.10000000,57785.30000000,57661.44000000,57682.13000000,0.68910600,1634195699999,39771.83115860,58,0.39201600,22630.94187588,0
1634195700000,57670.79000000,57778.80000000,57599.94000000,57731.23000000,1.02839700,1634196599999,59294.80615985,88,0.67595600,38965.03717573,0
1634196600000,57731.23000000,57749.72000000,57491.26000000,57591.00000000,0.93143200,1634197499999,53639.41407680,89,0.42297500,24355.85224315,0
1634197500000,57608.81000000,57636.31000000,57338.19000000,57390.64000000,2.47285500,1634198399999,142076.47276665,302,1.22173100,70188.12200241,0
1634198400000,57378.80000000,57528.55000000,57378.80000000,57432.73000000,1.06842000,1634199299999,61386.89437470,135,0.54092500,31071.07903850,0
1634199300000,57435.60000000,57655.13000000,57412.85000000,57655.13000000,1.03044100,1634200199999,59327.49864264,108,0.58856200,33872.27954148,0
1634200200000,57650.89000000,57695.35000000,57591.17000000,57639.81000000,0.75113300,1634201099999,43306.41941132,81,0.08668300,4996.95778696,0
1634201100000,57654.89000000,57657.31000000,57435.94000000,57457.88000000,0.51855800,1634201999999,29826.00808309,45,0.26123500,15028.35462082,0
1634202000000,57444.00000000,57500.79000000,57349.85000000,57500.79000000,0.64581300,1634202899999,37063.17581510,42,0.36860800,21158.10020185,0
1634202900000,57433.90000000,57706.08000000,57215.14000000,57311.26000000,3.76889700,1634203799999,216392.09048569,283,2.34767600,134863.19077965,0
1634203800000,57305.22000000,57433.64000000,57290.95000000,57368.02000000,0.84316800,1634204699999,48363.72553777,37,0.62303900,35735.84800195,0
1634204700000,57374.11000000,57477.11000000,57306.41000000,57466.04000000,1.22161900,1634205599999,70125.22417469,83,0.91349300,52437.56923199,0
1634205600000,57373.80000000,57492.38000000,57255.83000000,57492.38000000,1.24610800,1634206499999,71445.39149437,97,1.02869500,58973.46051357,0
1634206500000,57503.11000000,57680.24000000,57465.12000000,57594.55000000,1.19424400,1634207399999,68774.75725855,54,0.86833500,50007.70009053,0
1634207400000,57622.03000000,57721.40000000,57570.81000000,57596.37000000,1.42388900,1634208299999,82097.65841731,81,0.98107300,56567.70660704,0
1634208300000,57610.04000000,57794.78000000,57610.04000000,57652.66000000,3.35254900,1634209199999,193388.65858271,171,1.44426600,83320.17073254,0
1634209200000,57652.66000000,57862.31000000,57642.67000000,57829.85000000,2.67158800,1634210099999,154274.44817821,185,1.96971700,113757.62497639,0
1634210100000,57829.22000000,58156.31000000,57792.23000000,58040.88000000,3.62180500,1634210999999,209865.83664902,319,2.56346100,148519.33433738,0
1634211000000,57992.97000000,58025.37000000,57817.43000000,57861.80000000,1.17134900,1634211899999,67822.24642079,88,0.56205100,32525.77146204,0
1634211900000,57858.31000000,57858.31000000,57562.87000000,57572.77000000,1.83940300,1634212799999,106123.32231665,146,0.91141100,52576.43697805,0
1634212800000,57575.65000000,57780.32000000,57410.04000000,57770.89000000,2.10012000,1634213699999,121050.63983768,160,1.07402600,61888.29536789,0
1634213700000,57770.89000000,57886.72000000,57622.44000000,57706.85000000,2.63292200,1634214599999,152047.07163225,155,1.90138200,109790.59850919,0
1634214600000,57697.65000000,57774.01000000,57563.85000000,57563.85000000,4.12145000,1634215499999,237593.55476886,181,2.80408200,161649.41029442,0
1634215500000,57582.48000000,57675.31000000,57475.14000000,57545.90000000,2.03937600,1634216399999,117372.02733831,114,1.29280400,74407.91559015,0
1634216400000,57581.84000000,57680.00000000,57461.45000000,57525.00000000,3.66426100,1634217299999,211047.42879529,108,2.67205500,153907.22254899,0
1634217300000,57541.86000000,57657.11000000,57537.76000000,57657.11000000,0.61969600,1634218199999,35698.20735539,53,0.40584800,23378.14112968,0
1634218200000,57660.00000000,57728.30000000,57440.17000000,57521.01000000,2.11100300,1634219099999,121580.42265861,132,0.91424300,52633.55636637,0
1634219100000,57494.76000000,57572.98000000,57309.40000000,57374.23000000,4.27388200,1634219999999,245292.28963220,196,1.97788900,113499.38968437,0
1634220000000,57387.21000000,57595.35000000,57387.21000000,57529.76000000,1.19129300,1634220899999,68496.53389836,59,0.78923800,45377.33886024,0
1634220900000,57529.76000000,57631.33000000,57529.76000000,57553.80000000,1.30712100,1634221799999,75255.79963011,115,0.77905700,44853.96184076,0
1634221800000,57545.08000000,57545.08000000,57250.02000000,57307.59000000,4.08837100,1634222699999,234802.52042034,180,2.30051300,132134.92740937,0
1634222700000,57294.42000000,57504.71000000,57294.42000000,57399.18000000,1.90276800,1634223599999,109280.86720639,79,1.04993300,60294.21101989,0
1634223600000,57399.18000000,57619.38000000,56974.80000000,57478.88000000,12.10888800,1634224499999,693287.11123113,748,6.93700500,397068.88554603,0
1634224500000,57478.88000000,57804.32000000,57465.23000000,57718.30000000,3.03427500,1634225399999,174950.06014448,201,1.52337600,87861.86963972,0
1634225400000,57756.04000000,57756.04000000,57326.76000000,57421.47000000,3.53103800,1634226299999,203012.16055220,198,1.63516300,93976.30875340,0
1634226300000,57441.17000000,57474.45000000,57300.00000000,57318.54000000,0.90315700,1634227199999,51844.48273921,56,0.81771500,46940.37923168,0
1634227200000,57315.20000000,57417.72000000,57150.82000000,57152.85000000,3.49068000,1634228099999,199976.38491633,192,1.34277200,76930.10936119,0
1634228100000,57190.96000000,57244.46000000,57080.15000000,57100.71000000,1.35910300,1634228999999,77721.53289185,98,1.10141400,62996.12695602,0
1634229000000,57089.13000000,57233.56000000,56984.12000000,57100.97000000,2.71608800,1634229899999,155126.85387524,178,1.69085100,96569.56942547,0
1634229900000,57131.77000000,57346.93000000,57116.49000000,57125.65000000,0.73840400,1634230799999,42276.81630137,64,0.24862500,14231.80068133,0
1634230800000,57125.65000000,57218.02000000,57072.47000000,57113.85000000,0.56642000,1634231699999,32370.21354660,46,0.21841300,12489.22693264,0
1634231700000,57107.04000000,57258.98000000,57074.07000000,57245.58000000,0.61553500,1634232599999,35175.59813048,53,0.35544700,20322.64025273,0
1634232600000,57225.37000000,57236.98000000,57163.72000000,57199.76000000,0.53406700,1634233499999,30546.67903423,26,0.24104500,13786.84735561,0
