Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
1635753600000,4304.09000000,4323.16000000,4304.09000000,4316.60000000,28.42453000,1635754499999,122681.42354530,97,14.74709000,63608.27940760,0
1635754500000,4318.83000000,4338.74000000,4313.83000000,4322.83000000,66.37493000,1635755399999,287427.51957000,271,33.09213000,143262.36264480,0
1635755400000,4323.38000000,4328.22000000,4299.99000000,4304.81000000,24.20274000,1635756299999,104636.65904610,118,15.93717000,68943.06941680,0
1635756300000,4302.07000000,4314.97000000,4296.38000000,4311.26000000,3.45086000,1635757199999,14849.87031840,34,2.18716000,9412.43268900,0
1635757200000,4313.14000000,4331.55000000,4311.21000000,4331.54000000,8.83513000,1635758099999,38213.92505500,51,5.31532000,22990.01293550,0
1635758100000,4331.76000000,4343.26000000,4317.00000000,4321.97000000,17.75867000,1635758999999,76924.09043400,227,10.64748000,46121.17232700,0
1635759000000,4331.29000000,4335.03000000,4324.34000000,4330.45000000,12.90719000,1635759899999,55900.17174220,45,4.27289000,18503.85543990,0
1635759900000,4326.51000000,4328.25000000,4317.47000000,4317.47000000,2.70613000,1635760799999,11701.21244140,20,1.64782000,7125.00512830,0
1635760800000,4325.63000000,4330.38000000,4322.85000000,4327.82000000,6.60021000,1635761699999,28555.52602440,26,1.86743000,8078.68556230,0
1635761700000,4325.62000000,4327.85000000,4315.13000000,4316.77000000,6.73960000,1635762599999,29114.12422320,37,2.52816000,10926.81189850,0
1635762600000,4321.95000000,4334.10000000,4321.95000000,4326.42000000,11.81510000,1635763499999,51123.82836610,35,10.26033000,44391.74427770,0
1635763500000,4323.28000000,4330.12000000,4320.20000000,4329.22000000,4.70212000,1635764399999,20336.98342750,20,1.83312000,7935.29547420,0
1635764400000,4332.91000000,4354.30000000,4326.68000000,4338.10000000,55.93592000,1635765299999,243030.89958320,376,35.98803000,156333.79736750,0
1635765300000,4337.48000000,4351.68000000,4334.25000000,4351.06000000,26.34628000,1635766199999,114367.28537880,74,15.02384000,65235.24003180,0
1635766200000,4351.87000000,4353.64000000,4316.32000000,4325.24000000,49.06179000,1635767099999,212750.87022250,172,16.62649000,71991.26870150,0
1635767100000,4328.09000000,4332.82000000,4309.67000000,4314.74000000,5.87263000,1635767999999,25357.61883820,57,2.33295000,10083.65359110,0
1635768000000,4321.56000000,4373.88000000,4321.33000000,4362.44000000,351.62137000,1635768899999,1527567.31525640,987,101.31184000,440029.82763730,0
1635768900000,4360.70000000,4367.81000000,4343.08000000,4343.35000000,62.98912000,1635769799999,274379.01527440,141,42.80953000,186519.66063020,0
1635769800000,4342.10000000,4353.94000000,4337.10000000,4350.45000000,35.74528000,1635770699999,155320.96305990,108,9.88424000,42939.90990390,0
1635770700000,4347.52000000,4359.74000000,4337.54000000,4347.46000000,33.01438000,1635771599999,143721.04697850,111,15.10954000,65789.81455530,0
1635771600000,4346.90000000,4349.43000000,4337.31000000,4346.56000000,13.41081000,1635772499999,58204.32638480,51,7.48763000,32502.22958840,0
1635772500000,4347.92000000,4354.56000000,4339.43000000,4349.48000000,14.88215000,1635773399999,64738.91875580,54,1.55741000,6772.59500270,0
1635773400000,4353.00000000,4363.80000000,4349.04000000,4352.00000000,12.73743000,1635774299999,55480.95148990,56,8.44338000,36785.42933180,0
1635774300000,4357.33000000,4376.00000000,4354.32000000,4372.73000000,83.72057000,1635775199999,365657.24424750,252,53.86369000,235228.78917320,0
1635775200000,4376.20000000,4380.88000000,4346.80000000,4349.48000000,39.60098000,1635776099999,172787.88112210,192,17.23126000,75246.99081110,0
1635776100000,4349.64000000,4364.67000000,4349.64000000,4360.99000000,15.22440000,1635776999999,66332.46776140,54,6.40891000,27924.79531760,0
1635777000000,4359.08000000,4360.65000000,4339.77000000,4341.98000000,11.13394000,1635777899999,48411.02758760,67,3.68118000,16005.08424780,0
1635777900000,4344.67000000,4347.12000000,4311.03000000,4328.95000000,45.68808000,1635778799999,197711.55101160,296,17.80166000,77072.46186880,0
